structure,layout,block_cap,n,q,dist,hit_pct,seed,rep,build_ms,prep_ms,search_ns,insert_ns,hits,expected_hits,mem_bytes,bytes_per_key
csl-eyt,eyt,256,100000,500000,uniform,50,42,1,1.475,0.895,141.40,0.00,250324,250324,815960,8.16
csl,sorted,512,100000,500000,uniform,50,42,1,1.093,0.024,130.45,0.00,250324,250324,810472,8.10
csl-eyt,eyt,512,100000,500000,uniform,50,42,1,0.833,0.333,130.69,0.00,250324,250324,810472,8.10
csl,sorted,1024,100000,500000,uniform,50,42,1,0.944,0.014,112.56,0.00,250324,250324,806676,8.07
csl-eyt,eyt,1024,100000,500000,uniform,50,42,1,0.660,0.263,107.45,0.00,250324,250324,806676,8.07
csl,sorted,2048,100000,500000,uniform,50,42,1,0.791,0.007,104.73,0.00,250324,250324,804808,8.05
csl-eyt,eyt,2048,100000,500000,uniform,50,42,1,0.727,0.321,108.21,0.00,250324,250324,804808,8.05
csl,sorted,4096,100000,500000,uniform,50,42,1,1.817,0.009,197.50,0.00,250324,250324,820296,8.20
csl-eyt,eyt,4096,100000,500000,uniform,50,42,1,1.671,0.556,186.49,0.00,250324,250324,820296,8.20
array,sorted,0,100000,500000,uniform,50,42,2,0.000,0.000,243.83,0.00,250324,250324,800000,8.00
array-bl,sorted,0,100000,500000,uniform,50,42,2,0.000,0.000,81.66,0.00,250324,250324,800000,8.00
array-eyt,eyt,0,100000,500000,uniform,50,42,2,0.000,0.000,127.27,0.00,250324,250324,800000,8.00
skiplist,nodes,0,100000,500000,uniform,50,42,2,32.840,0.000,426.95,0.00,250324,250324,1733356,17.33
csl,sorted,8,100000,500000,uniform,50,42,2,9.033,1.867,388.15,0.00,250324,250324,1283816,12.84
csl-eyt,eyt,8,100000,500000,uniform,50,42,2,9.533,4.766,421.80,0.00,250324,250324,1283816,12.84
csl,sorted,16,100000,500000,uniform,50,42,2,5.878,1.195,354.58,0.00,250324,250324,1042204,10.42
csl-eyt,eyt,16,100000,500000,uniform,50,42,2,5.167,2.837,344.06,0.00,250324,250324,1042204,10.42
csl,sorted,32,100000,500000,uniform,50,42,2,3.565,0.473,326.10,0.00,250324,250324,921092,9.21
csl-eyt,eyt,32,100000,500000,uniform,50,42,2,3.613,1.512,312.70,0.00,250324,250324,921092,9.21
csl,sorted,64,100000,500000,uniform,50,42,2,2.518,0.225,277.01,0.00,250324,250324,860828,8.61
csl-eyt,eyt,64,100000,500000,uniform,50,42,2,2.391,1.079,284.69,0.00,250324,250324,860828,8.61
csl,sorted,128,100000,500000,uniform,50,42,2,2.202,0.132,233.99,0.00,250324,250324,831148,8.31
csl-eyt,eyt,128,100000,500000,uniform,50,42,2,1.828,0.936,260.30,0.00,250324,250324,831148,8.31
csl,sorted,256,100000,500000,uniform,50,42,2,1.820,0.059,228.63,0.00,250324,250324,815960,8.16
csl-eyt,eyt,256,100000,500000,uniform,50,42,2,1.884,0.701,242.89,0.00,250324,250324,815960,8.16
csl,sorted,512,100000,500000,uniform,50,42,2,1.770,0.032,214.04,0.00,250324,250324,810472,8.10
csl-eyt,eyt,512,100000,500000,uniform,50,42,2,1.691,0.637,219.86,0.00,250324,250324,810472,8.10
csl,sorted,1024,100000,500000,uniform,50,42,2,1.757,0.017,211.62,0.00,250324,250324,806676,8.07
csl-eyt,eyt,1024,100000,500000,uniform,50,42,2,1.743,0.724,213.67,0.00,250324,250324,806676,8.07
csl,sorted,2048,100000,500000,uniform,50,42,2,1.586,0.014,208.05,0.00,250324,250324,804808,8.05
csl-eyt,eyt,2048,100000,500000,uniform,50,42,2,1.474,0.381,187.00,0.00,250324,250324,804808,8.05
csl,sorted,4096,100000,500000,uniform,50,42,2,1.464,0.008,170.29,0.00,250324,250324,820296,8.20
csl-eyt,eyt,4096,100000,500000,uniform,50,42,2,1.563,0.606,175.53,0.00,250324,250324,820296,8.20
array,sorted,0,1000000,500000,uniform,50,42,0,0.000,0.000,245.07,0.00,249868,249868,8000000,8.00
array-bl,sorted,0,1000000,500000,uniform,50,42,0,0.000,0.000,80.03,0.00,249868,249868,8000000,8.00
array-eyt,eyt,0,1000000,500000,uniform,50,42,0,0.000,0.000,68.05,0.00,249868,249868,8000000,8.00
skiplist,nodes,0,1000000,500000,uniform,50,42,0,221.948,0.000,639.93,0.00,249868,249868,17335536,17.34
csl,sorted,8,1000000,500000,uniform,50,42,0,60.350,12.133,449.80,0.00,249868,249868,12834260,12.83
csl-eyt,eyt,8,1000000,500000,uniform,50,42,0,68.883,31.844,425.56,0.00,249868,249868,12834260,12.83
csl,sorted,16,1000000,500000,uniform,50,42,0,32.939,5.740,406.12,0.00,249868,249868,10417072,10.42
csl-eyt,eyt,16,1000000,500000,uniform,50,42,0,34.592,15.615,370.58,0.00,249868,249868,10417072,10.42
csl,sorted,32,1000000,500000,uniform,50,42,0,19.202,3.028,340.55,0.00,249868,249868,9209488,9.21
csl-eyt,eyt,32,1000000,500000,uniform,50,42,0,19.806,9.614,339.06,0.00,249868,249868,9209488,9.21
csl,sorted,64,1000000,500000,uniform,50,42,0,14.622,1.359,302.13,0.00,249868,249868,8604776,8.60
csl-eyt,eyt,64,1000000,500000,uniform,50,42,0,15.843,9.338,286.37,0.00,249868,249868,8604776,8.60
csl,sorted,128,1000000,500000,uniform,50,42,0,10.952,0.670,364.56,0.00,249868,249868,8303048,8.30
csl-eyt,eyt,128,1000000,500000,uniform,50,42,0,20.915,8.837,430.39,0.00,249868,249868,8303048,8.30
csl,sorted,256,1000000,500000,uniform,50,42,0,17.795,0.612,406.64,0.00,249868,249868,8152808,8.15
csl-eyt,eyt,256,1000000,500000,uniform,50,42,0,18.256,7.197,411.37,0.00,249868,249868,8152808,8.15
csl,sorted,512,1000000,500000,uniform,50,42,0,19.571,0.342,398.01,0.00,249868,249868,8079360,8.08
csl-eyt,eyt,512,1000000,500000,uniform,50,42,0,16.489,6.683,365.85,0.00,249868,249868,8079360,8.08
csl,sorted,1024,1000000,500000,uniform,50,42,0,18.638,0.157,389.77,0.00,249868,249868,8041500,8.04
csl-eyt,eyt,1024,1000000,500000,uniform,50,42,0,17.629,6.559,338.32,0.00,249868,249868,8041500,8.04
csl,sorted,2048,1000000,500000,uniform,50,42,0,16.422,0.081,393.38,0.00,249868,249868,8030740,8.03
csl-eyt,eyt,2048,1000000,500000,uniform,50,42,0,18.261,6.285,319.33,0.00,249868,249868,8030740,8.03
csl,sorted,4096,1000000,500000,uniform,50,42,0,18.308,0.040,373.83,0.00,249868,249868,8037668,8.04
csl-eyt,eyt,4096,1000000,500000,uniform,50,42,0,16.655,5.375,307.29,0.00,249868,249868,8037668,8.04
array,sorted,0,1000000,500000,uniform,50,42,1,0.000,0.000,380.67,0.00,249868,249868,8000000,8.00
array-bl,sorted,0,1000000,500000,uniform,50,42,1,0.000,0.000,183.48,0.00,249868,249868,8000000,8.00
array-eyt,eyt,0,1000000,500000,uniform,50,42,1,0.000,0.000,166.07,0.00,249868,249868,8000000,8.00
skiplist,nodes,0,1000000,500000,uniform,50,42,1,342.585,0.000,968.79,0.00,249868,249868,17335536,17.34
csl,sorted,8,1000000,500000,uniform,50,42,1,104.346,24.215,800.18,0.00,249868,249868,12834260,12.83
csl-eyt,eyt,8,1000000,500000,uniform,50,42,1,99.094,51.825,678.53,0.00,249868,249868,12834260,12.83
csl,sorted,16,1000000,500000,uniform,50,42,1,58.175,12.568,627.73,0.00,249868,249868,10417072,10.42
csl-eyt,eyt,16,1000000,500000,uniform,50,42,1,58.632,27.579,595.69,0.00,249868,249868,10417072,10.42
csl,sorted,32,1000000,500000,uniform,50,42,1,36.657,4.419,545.86,0.00,249868,249868,9209488,9.21
csl-eyt,eyt,32,1000000,500000,uniform,50,42,1,38.354,19.436,521.77,0.00,249868,249868,9209488,9.21
csl,sorted,64,1000000,500000,uniform,50,42,1,26.507,2.900,471.87,0.00,249868,249868,8604776,8.60
csl-eyt,eyt,64,1000000,500000,uniform,50,42,1,25.455,12.474,506.62,0.00,249868,249868,8604776,8.60
csl,sorted,128,1000000,500000,uniform,50,42,1,20.702,1.552,459.77,0.00,249868,249868,8303048,8.30
csl-eyt,eyt,128,1000000,500000,uniform,50,42,1,20.737,8.605,419.61,0.00,249868,249868,8303048,8.30
csl,sorted,256,1000000,500000,uniform,50,42,1,17.494,0.621,415.07,0.00,249868,249868,8152808,8.15
csl-eyt,eyt,256,1000000,500000,uniform,50,42,1,19.282,7.780,413.11,0.00,249868,249868,8152808,8.15
csl,sorted,512,1000000,500000,uniform,50,42,1,16.880,0.379,436.24,0.00,249868,249868,8079360,8.08
csl-eyt,eyt,512,1000000,500000,uniform,50,42,1,17.137,7.051,374.71,0.00,249868,249868,8079360,8.08
csl,sorted,1024,1000000,500000,uniform,50,42,1,15.928,0.112,398.92,0.00,249868,249868,8041500,8.04
csl-eyt,eyt,1024,1000000,500000,uniform,50,42,1,18.512,6.902,336.49,0.00,249868,249868,8041500,8.04
csl,sorted,2048,1000000,500000,uniform,50,42,1,17.966,0.083,385.93,0.00,249868,249868,8030740,8.03
csl-eyt,eyt,2048,1000000,500000,uniform,50,42,1,17.926,6.449,331.57,0.00,249868,249868,8030740,8.03
csl,sorted,4096,1000000,500000,uniform,50,42,1,18.360,0.048,381.47,0.00,249868,249868,8037668,8.04
csl-eyt,eyt,4096,1000000,500000,uniform,50,42,1,18.725,6.201,308.61,0.00,249868,249868,8037668,8.04
array,sorted,0,1000000,500000,uniform,50,42,2,0.000,0.000,376.71,0.00,249868,249868,8000000,8.00
array-bl,sorted,0,1000000,500000,uniform,50,42,2,0.000,0.000,194.44,0.00,249868,249868,8000000,8.00
array-eyt,eyt,0,1000000,500000,uniform,50,42,2,0.000,0.000,166.86,0.00,249868,249868,8000000,8.00
skiplist,nodes,0,1000000,500000,uniform,50,42,2,338.810,0.000,985.86,0.00,249868,249868,17335536,17.34
csl,sorted,8,1000000,500000,uniform,50,42,2,105.394,23.584,706.53,0.00,249868,249868,12834260,12.83
csl-eyt,eyt,8,1000000,500000,uniform,50,42,2,103.013,53.721,696.84,0.00,249868,249868,12834260,12.83
csl,sorted,16,1000000,500000,uniform,50,42,2,59.492,12.651,617.17,0.00,249868,249868,10417072,10.42
csl-eyt,eyt,16,1000000,500000,uniform,50,42,2,56.315,29.519,572.72,0.00,249868,249868,10417072,10.42
csl,sorted,32,1000000,500000,uniform,50,42,2,33.371,5.849,545.27,0.00,249868,249868,9209488,9.21
